Rk,Date,Tm,,Opp,P,Time,,Description
1,2021-10-15,NJD,,CHI,2,17:58,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and Janne Kuokkanen
2,2021-10-15,NJD,,CHI,OT,00:57,EV,Goal by Jack Hughes assisted by Ryan Graves
3,2021-10-19,NJD,,SEA,1,06:42,EV,Goal by Damon Severson assisted by Jack Hughes and Ryan Graves
4,2021-12-03,NJD,@,WPG,1,19:36,EV,Goal by Jack Hughes assisted by Ryan Graves and Dougie Hamilton
5,2021-12-08,NJD,,PHI,3,19:30,EV,Goal by Michael McLeod assisted by Jack Hughes and Yegor Sharangovich
6,2021-12-10,NJD,,NSH,3,18:55,EV,Goal by Yegor Sharangovich assisted by Jack Hughes and Andreas Johnsson
7,2021-12-11,NJD,@,NYI,1,18:25,EV,Goal by Jack Hughes assisted by Pavel Zacha
8,2021-12-16,NJD,,VEG,1,01:41,EV,Goal by Jack Hughes assisted by Dougie Hamilton and Tomáš Tatar
9,2021-12-29,NJD,@,BUF,1,04:43,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Nico Hischier
10,2021-12-29,NJD,@,BUF,1,11:48,EV,Goal by Jesper Bratt assisted by P.K. Subban and Jack Hughes
11,2021-12-29,NJD,@,BUF,3,04:28,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and Jesper Bratt
12,2021-12-31,NJD,,EDM,1,01:38,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt
13,2021-12-31,NJD,,EDM,3,19:28,EV,Goal by Yegor Sharangovich assisted by Dougie Hamilton and Jack Hughes
14,2021-12-31,NJD,,EDM,OT,02:55,EV,Goal by Jack Hughes assisted by Jesper Bratt and Damon Severson
15,2022-01-02,NJD,@,WSH,1,07:15,EV,Goal by Yegor Sharangovich assisted by Jack Hughes and P.K. Subban
16,2022-01-02,NJD,@,WSH,OT,02:56,EV,Goal by Nico Hischier assisted by Jack Hughes
17,2022-01-04,NJD,@,BOS,2,03:05,EV,Goal by Tomáš Tatar assisted by Jack Hughes and Jesper Bratt
18,2022-01-06,NJD,,CBJ,1,00:51,EV,Goal by Tomáš Tatar assisted by Jesper Bratt and Jack Hughes
19,2022-01-06,NJD,,CBJ,3,01:16,PP,Goal by Jesper Bratt assisted by Jack Hughes and Nathan Bastian
20,2022-01-06,NJD,,CBJ,3,18:40,EV,Goal by Jack Hughes assisted by Tomáš Tatar and Ryan Graves
21,2022-01-19,NJD,,ARI,1,06:09,PP,Goal by Nico Hischier assisted by Jesper Bratt and Jack Hughes
22,2022-01-22,NJD,,CAR,3,12:51,PP,Goal by Jack Hughes assisted by Damon Severson and Nico Hischier
23,2022-01-23,NJD,,LAK,1,17:34,PP,Goal by Jesper Bratt assisted by Jack Hughes and Damon Severson
24,2022-01-25,NJD,,DAL,2,12:16,PP,Goal by Jesper Bratt assisted by Jack Hughes and Damon Severson
25,2022-01-27,NJD,@,TBL,3,10:55,EV,Goal by Jack Hughes assisted by Jesper Bratt and Damon Severson
