,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2022-10-13,@,Philadelphia Flyers,2,5,L,,,37,8,1,3,0,,25,8,1,3,0,,70,31,69.3,47,24,66.2,35,25,58.3,61.0,80.9
2,2022-10-15,,Detroit Red Wings,2,5,L,,,39,12,0,3,0,,22,10,0,4,0,,63,34,64.9,45,24,65.2,25,19,56.8,69.9,76.6
3,2022-10-18,,Anaheim Ducks,4,2,W,,,41,15,0,3,0,,20,23,0,4,0,,63,26,70.8,50,20,71.4,21,19,52.5,41.0,96.2
4,2022-10-20,@,New York Islanders,4,1,W,,,43,6,0,3,0,,17,8,0,2,0,,64,42,60.4,49,22,69.0,22,18,55.0,45.8,104.3
5,2022-10-22,,San Jose Sharks,2,1,W,,,36,4,1,3,0,,22,6,0,2,0,,47,51,48.0,36,36,50.0,23,27,46.0,55.3,98.4
6,2022-10-24,,Washington Capitals,3,6,L,,,41,6,0,4,0,,22,8,1,3,1,,55,33,62.5,45,24,65.2,23,25,47.9,66.7,80.5
7,2022-10-25,@,Detroit Red Wings,6,2,W,,,41,6,1,1,1,,22,2,0,3,0,,61,38,61.6,49,26,65.3,30,20,60.0,55.6,98.5
8,2022-10-28,,Colorado Avalanche,1,0,W,,,23,12,1,3,0,,24,6,0,6,0,,44,32,57.9,30,23,56.6,22,10,68.8,52.2,100.0
9,2022-10-30,,Columbus Blue Jackets,7,1,W,,,53,6,1,3,0,,21,8,0,2,0,,68,36,65.4,52,24,68.4,31,24,56.4,51.1,111.0
10,2022-11-01,@,Vancouver Canucks,5,2,W,,,37,25,1,1,1,,23,27,2,5,0,,55,46,54.5,44,32,57.9,26,18,59.1,48.4,109.1
11,2022-11-03,@,Edmonton Oilers,4,3,W,,,43,4,0,3,0,,37,6,1,2,0,,70,55,56.0,54,45,54.5,17,23,42.5,50.0,103.9
