Key,team_id,Season_Year,GP,Season,Date,Home,Opp_Name,GF,GA,Result,OT,Team_S,Team_PIM,Team_PPG,Team_PPO,Team_SHG,Opp_S,Opp_PIM,Opp_PPG,Opp_PPO,Opp_SHG
18-2022-R1,18,2022,1,R,20211015,1,Chicago Blackhawks,4,3,W,1,29,10,0,2,0,27,4,2,5,0
18-2022-R2,18,2022,2,R,20211019,1,Seattle Kraken,4,2,W,0,33,35,0,3,0,29,41,1,5,0
18-2022-R3,18,2022,3,R,20211021,1,Washington Capitals,1,4,L,0,26,8,1,1,0,27,4,0,3,0
18-2022-R4,18,2022,4,R,20211023,1,Buffalo Sabres,2,1,W,1,39,6,1,3,0,25,8,1,2,0
18-2022-R5,18,2022,5,R,20211026,1,Calgary Flames,3,5,L,0,30,10,1,4,0,29,12,2,3,0
18-2022-R6,18,2022,6,R,20211030,0,Pittsburgh Penguins,4,2,W,0,40,10,0,2,1,35,4,0,5,0
18-2022-R7,18,2022,7,R,20211031,1,Columbus Blue Jackets,3,4,L,0,39,4,0,3,0,26,6,1,2,0
18-2022-R8,18,2022,8,R,20211102,0,Anaheim Ducks,0,4,L,0,28,14,0,5,0,27,10,2,7,1
18-2022-R9,18,2022,9,R,20211105,0,Los Angeles Kings,2,3,L,1,23,12,0,4,0,29,8,1,6,0
18-2022-R10,18,2022,10,R,20211106,0,San Jose Sharks,3,2,W,0,28,6,0,4,0,27,8,1,3,0
18-2022-R11,18,2022,11,R,20211109,1,Florida Panthers,7,3,W,0,31,4,2,4,0,38,8,0,2,0
18-2022-R12,18,2022,12,R,20211111,1,New York Islanders,4,0,W,0,34,8,1,2,1,42,6,0,3,0
18-2022-R13,18,2022,13,R,20211113,1,Boston Bruins,2,5,L,0,29,6,0,3,0,36,8,1,2,0
18-2022-R14,18,2022,14,R,20211114,0,New York Rangers,3,4,L,0,27,4,1,1,0,41,2,0,2,0
18-2022-R15,18,2022,15,R,20211118,0,Florida Panthers,1,4,L,0,46,6,0,3,0,41,8,0,2,0
18-2022-R16,18,2022,16,R,20211120,0,Tampa Bay Lightning,5,3,W,0,27,8,0,3,0,34,6,1,4,0
18-2022-R17,18,2022,17,R,20211124,1,Minnesota Wild,2,3,L,0,42,8,0,4,0,27,10,0,3,1
18-2022-R18,18,2022,18,R,20211126,0,Nashville Predators,2,4,L,0,25,6,0,1,0,31,6,0,3,0
18-2022-R19,18,2022,19,R,20211128,1,Philadelphia Flyers,5,2,W,0,35,11,0,3,0,25,11,0,3,1
18-2022-R20,18,2022,20,R,20211130,1,San Jose Sharks,2,5,L,0,34,6,0,1,0,31,2,1,3,0
18-2022-R21,18,2022,21,R,20211202,0,Minnesota Wild,2,5,L,0,31,10,0,3,0,38,8,0,4,0
18-2022-R22,18,2022,22,R,20211203,0,Winnipeg Jets,4,8,L,0,37,8,1,2,0,40,4,1,4,0
18-2022-R23,18,2022,23,R,20211206,1,Ottawa Senators,2,3,L,0,24,6,0,0,0,23,4,0,1,0
18-2022-R24,18,2022,24,R,20211208,1,Philadelphia Flyers,3,0,W,0,27,4,1,3,0,25,6,0,2,0
18-2022-R25,18,2022,25,R,20211210,1,Nashville Predators,2,3,L,0,31,11,0,4,0,27,15,1,2,0
18-2022-R26,18,2022,26,R,20211211,0,New York Islanders,2,4,L,0,32,13,0,3,0,29,25,1,2,1
18-2022-R27,18,2022,27,R,20211214,0,Philadelphia Flyers,1,6,L,0,27,2,0,4,0,30,10,0,0,1
18-2022-R28,18,2022,28,R,20211216,1,Vegas Golden Knights,3,5,L,0,26,18,1,3,1,30,26,1,4,0
18-2022-R29,18,2022,29,R,20211218,0,Detroit Red Wings,2,5,L,0,33,8,0,2,1,30,6,0,3,0
18-2022-R30,18,2022,30,R,20211219,1,Pittsburgh Penguins,2,3,L,0,19,8,1,5,0,22,14,0,2,1
18-2022-R31,18,2022,31,R,20211229,0,Buffalo Sabres,4,3,W,0,42,7,1,2,0,22,19,0,1,0
18-2022-R32,18,2022,32,R,20211231,1,Edmonton Oilers,6,5,W,1,41,2,1,2,0,37,4,0,1,0
18-2022-R33,18,2022,33,R,20220102,0,Washington Capitals,4,3,W,1,37,6,0,1,0,30,6,0,1,0
18-2022-R34,18,2022,34,R,20220104,0,Boston Bruins,3,5,L,0,26,2,0,1,0,34,2,0,1,0
18-2022-R35,18,2022,35,R,20220106,1,Columbus Blue Jackets,3,1,W,0,28,8,1,3,0,32,6,0,4,0
18-2022-R36,18,2022,36,R,20220108,0,Columbus Blue Jackets,3,4,L,0,30,6,0,3,0,34,6,1,3,0
18-2022-R37,18,2022,37,R,20220113,0,New York Islanders,2,3,L,0,32,10,1,5,0,25,12,1,4,0
18-2022-R38,18,2022,38,R,20220119,1,Arizona Coyotes,1,4,L,0,36,4,1,2,0,17,4,0,2,0
18-2022-R39,18,2022,39,R,20220122,1,Carolina Hurricanes,7,4,W,0,38,2,1,3,0,32,6,0,1,0
18-2022-R40,18,2022,40,R,20220123,1,Los Angeles Kings,2,3,L,0,25,10,1,2,0,37,8,0,3,0
18-2022-R41,18,2022,41,R,20220125,1,Dallas Stars,1,5,L,0,37,9,1,3,0,32,13,0,1,0
18-2022-R42,18,2022,42,R,20220127,0,Tampa Bay Lightning,2,3,L,0,33,2,1,3,0,35,6,1,1,1
18-2022-R43,18,2022,43,R,20220129,0,Carolina Hurricanes,1,2,L,0,25,6,0,2,0,23,6,0,2,0
18-2022-R44,18,2022,44,R,20220131,0,Toronto Maple Leafs,4,6,L,0,29,6,0,3,0,33,6,1,3,1
18-2022-R45,18,2022,45,R,20220201,1,Toronto Maple Leafs,1,7,L,0,32,4,0,3,0,36,6,0,2,0
18-2022-R46,18,2022,46,R,20220207,0,Ottawa Senators,1,4,L,0,33,0,1,1,0,24,2,0,0,0
18-2022-R47,18,2022,47,R,20220208,0,Montreal Canadiens,7,1,W,0,34,6,1,2,0,31,4,0,3,0
18-2022-R48,18,2022,48,R,20220210,0,St. Louis Blues,7,4,W,0,29,10,0,3,0,31,8,0,4,0
18-2022-R49,18,2022,49,R,20220213,1,Pittsburgh Penguins,2,4,L,0,30,6,0,2,0,35,4,0,3,0
18-2022-R50,18,2022,50,R,20220215,1,Tampa Bay Lightning,3,6,L,0,25,22,1,3,0,32,16,0,1,0
18-2022-R51,18,2022,51,R,20220224,0,Pittsburgh Penguins,6,1,W,0,36,10,2,5,0,38,12,1,4,0
18-2022-R52,18,2022,52,R,20220225,0,Chicago Blackhawks,5,8,L,0,36,27,0,2,0,37,13,3,4,0
18-2022-R53,18,2022,53,R,20220228,1,Vancouver Canucks,7,2,W,0,33,2,1,2,0,38,4,0,1,0
18-2022-R54,18,2022,54,R,20220301,0,Columbus Blue Jackets,3,4,L,0,33,11,2,4,0,31,13,1,3,0
18-2022-R55,18,2022,55,R,20220304,0,New York Rangers,1,3,L,0,33,13,0,3,0,32,13,0,3,0
18-2022-R56,18,2022,56,R,20220306,1,St. Louis Blues,3,2,W,1,33,4,0,5,0,21,12,0,1,0
18-2022-R57,18,2022,57,R,20220308,1,Colorado Avalanche,5,3,W,0,43,8,2,4,1,26,8,2,4,0
18-2022-R58,18,2022,58,R,20220310,1,Winnipeg Jets,1,2,L,0,34,4,1,3,0,30,6,0,2,0
18-2022-R59,18,2022,59,R,20220312,1,Anaheim Ducks,2,1,W,0,40,4,0,3,0,34,6,0,2,0
18-2022-R60,18,2022,60,R,20220315,0,Vancouver Canucks,3,6,L,0,35,2,0,3,0,31,6,0,1,1
18-2022-R61,18,2022,61,R,20220316,0,Calgary Flames,3,6,L,0,33,0,0,4,0,40,8,0,0,0
18-2022-R62,18,2022,62,R,20220319,0,Edmonton Oilers,3,6,L,0,28,9,0,3,0,40,13,1,1,0
18-2022-R63,18,2022,63,R,20220322,1,New York Rangers,7,4,W,0,31,2,1,3,0,35,6,1,1,0
18-2022-R64,18,2022,64,R,20220323,0,Toronto Maple Leafs,2,3,L,0,22,6,1,4,0,31,8,0,3,2
18-2022-R65,18,2022,65,R,20220326,0,Washington Capitals,3,4,L,0,38,11,0,2,0,22,11,1,2,0
18-2022-R66,18,2022,66,R,20220327,1,Montreal Canadiens,3,2,W,0,32,10,1,2,0,33,4,0,5,0
18-2022-R67,18,2022,67,R,20220331,0,Boston Bruins,1,8,L,0,26,23,0,3,0,40,23,1,3,0
18-2022-R68,18,2022,68,R,20220402,1,Florida Panthers,6,7,L,1,31,6,0,2,1,41,4,0,3,0
18-2022-R69,18,2022,69,R,20220403,1,New York Islanders,3,4,L,0,30,31,0,2,0,29,9,1,3,0
18-2022-R70,18,2022,70,R,20220405,1,New York Rangers,1,3,L,0,21,21,0,2,0,17,9,2,3,0
18-2022-R71,18,2022,71,R,20220407,1,Montreal Canadiens,4,7,L,0,37,0,0,2,0,26,4,0,0,0
18-2022-R72,18,2022,72,R,20220409,0,Dallas Stars,3,1,W,0,23,12,0,3,0,28,6,1,6,0
18-2022-R73,18,2022,73,R,20220412,0,Arizona Coyotes,6,2,W,0,38,10,0,5,0,21,12,1,4,0
18-2022-R74,18,2022,74,R,20220414,0,Colorado Avalanche,1,3,L,0,27,4,0,2,0,30,4,1,2,0
18-2022-R75,18,2022,75,R,20220416,0,Seattle Kraken,3,4,L,0,26,6,0,3,0,26,6,1,3,0
18-2022-R76,18,2022,76,R,20220418,0,Vegas Golden Knights,3,2,W,0,28,2,0,1,0,44,2,0,1,0
18-2022-R77,18,2022,77,R,20220421,1,Buffalo Sabres,2,5,L,0,31,4,0,4,0,28,8,0,1,2
18-2022-R78,18,2022,78,R,20220423,1,Carolina Hurricanes,2,3,L,1,19,6,1,3,0,29,8,0,2,0
18-2022-R79,18,2022,79,R,20220424,1,Detroit Red Wings,0,3,L,0,17,6,0,2,0,24,4,0,3,0
18-2022-R80,18,2022,80,R,20220426,0,Ottawa Senators,4,5,L,1,41,6,0,2,0,34,4,2,3,1
18-2022-R81,18,2022,81,R,20220428,0,Carolina Hurricanes,3,6,L,0,30,6,0,2,0,36,4,0,3,0
18-2022-R82,18,2022,82,R,20220429,1,Detroit Red Wings,3,5,L,0,23,4,0,1,0,35,2,0,2,0
