tracked_player_name,Point_Number,Team_Game_Key,P,Time,Goal_Strength,Description,goal_scorer,primary_assist,secondary_assist
"Hughes, Jack",1,18-2020-R7,2,12:25,EV,Goal by Miles Wood assisted by Jack Hughes and Matt Tennyson,"Wood, Miles","Hughes, Jack","Tennyson, Matt"
"Hughes, Jack",2,18-2020-R8,1,14:08,PP,Goal by Jack Hughes assisted by Taylor Hall and Sami Vatanen,"Hughes, Jack","Hall, Taylor","Vatanen, Sami"
"Hughes, Jack",3,18-2020-R9,1,16:29,EV,Goal by Sami Vatanen assisted by Jack Hughes and P.K. Subban,"Vatanen, Sami","Hughes, Jack","Subban, P.K."
"Hughes, Jack",4,18-2020-R9,1,18:26,PP,Goal by Jack Hughes assisted by Taylor Hall and Sami Vatanen,"Hughes, Jack","Hall, Taylor","Vatanen, Sami"
"Hughes, Jack",5,18-2020-R9,2,13:07,EV,Goal by Pavel Zacha assisted by Jack Hughes and Matt Tennyson,"Zacha, Pavel","Hughes, Jack","Tennyson, Matt"
"Hughes, Jack",6,18-2020-R11,1,06:24,PP,Goal by Wayne Simmonds assisted by Jack Hughes and Kyle Palmieri,"Simmonds, Wayne","Hughes, Jack","Palmieri, Kyle"
"Hughes, Jack",7,18-2020-R12,1,19:33,PP,Goal by Jack Hughes assisted by Taylor Hall and Kyle Palmieri,"Hughes, Jack","Hall, Taylor","Palmieri, Kyle"
"Hughes, Jack",8,18-2020-R14,1,15:44,EV,Goal by Jack Hughes assisted by Taylor Hall and Will Butcher,"Hughes, Jack","Hall, Taylor","Butcher, Will"
"Hughes, Jack",9,18-2020-R14,2,05:21,EV,Goal by Nikita Gusev assisted by Jack Hughes and Pavel Zacha,"Gusev, Nikita","Hughes, Jack","Zacha, Pavel"
"Hughes, Jack",10,18-2020-R19,3,15:12,PP,Goal by Wayne Simmonds assisted by Taylor Hall and Jack Hughes,"Simmonds, Wayne","Hall, Taylor","Hughes, Jack"
"Hughes, Jack",11,18-2020-R23,1,12:44,EV,Goal by Jesper Boqvist assisted by Wayne Simmonds and Jack Hughes,"Boqvist, Jesper","Simmonds, Wayne","Hughes, Jack"
"Hughes, Jack",12,18-2020-R29,3,11:09,EV,Goal by Taylor Hall assisted by Jack Hughes,"Hall, Taylor","Hughes, Jack",
"Hughes, Jack",13,18-2020-R33,3,01:00,EV,Goal by Sami Vatanen assisted by Jack Hughes,"Vatanen, Sami","Hughes, Jack",
"Hughes, Jack",14,18-2020-R36,1,14:46,EV,Goal by Jack Hughes assisted by Wayne Simmonds and Sami Vatanen,"Hughes, Jack","Simmonds, Wayne","Vatanen, Sami"
"Hughes, Jack",15,18-2020-R38,2,15:12,PP,Goal by Nikita Gusev assisted by Sami Vatanen and Jack Hughes,"Gusev, Nikita","Vatanen, Sami","Hughes, Jack"
"Hughes, Jack",16,18-2020-R38,OT,00:54,EV,Goal by Jack Hughes assisted by Kyle Palmieri and Sami Vatanen,"Hughes, Jack","Palmieri, Kyle","Vatanen, Sami"
"Hughes, Jack",17,18-2020-R45,2,03:10,EV,Goal by Andy Greene assisted by Miles Wood and Jack Hughes,"Greene, Andy","Wood, Miles","Hughes, Jack"
"Hughes, Jack",18,18-2020-R52,3,19:40,PP,Goal by Kyle Palmieri assisted by Blake Coleman and Jack Hughes,"Palmieri, Kyle","Coleman, Blake","Hughes, Jack"
"Hughes, Jack",19,18-2020-R54,2,10:43,EV,Goal by Kyle Palmieri assisted by Jack Hughes and Andy Greene,"Palmieri, Kyle","Hughes, Jack","Greene, Andy"
"Hughes, Jack",20,18-2020-R55,1,03:15,PP,Goal by Jack Hughes assisted by Damon Severson and Wayne Simmonds,"Hughes, Jack","Severson, Damon","Simmonds, Wayne"
"Hughes, Jack",21,18-2020-R62,2,08:51,PP,Goal by Kyle Palmieri assisted by Jack Hughes and Damon Severson,"Palmieri, Kyle","Hughes, Jack","Severson, Damon"
